test##123456##1##0##2024-04-17 15:44##2025-03-13 17:00##50.5##2024-04-17 15:58##1##49.5##0
Eric##123456##0##0##2024-04-08 22:35##2025-04-08 22:35##50.0##2024-04-08 22:35##0##50.0##0
idea##123456##0##0##2024-04-14 15:31##2025-04-14 14:57##50.0##2024-04-14 15:31##3##198.5##0
demo##123456##0##0##2024-04-14 15:12##2025-04-14 15:12##50.0##2024-04-14 15:12##1##49.5##0
fyy##123456##0##0##2024-04-14 19:16##2025-04-14 19:06##50.0##2024-04-14 19:16##2##49.5##0
lx##123456##0##0##2024-04-18 17:33##2025-04-14 19:24##50.0##2024-04-18 17:33##2##99.0##0
li##123456##0##0##2024-04-14 19:27##2025-04-14 19:27##49.5##2024-04-14 19:27##0##50.0##0
wdm##12345##1##0##2024-04-14 19:47##2025-04-14 19:47##0.0##2024-04-14 19:48##0##50.0##1
hxf##123456##0##0##2024-04-15 20:52##2025-04-15 20:52##1.0##2024-04-15 21:17##1##49.0##0
xst##123456##0##0##2024-04-15 20:52##2025-04-15 20:52##0.0##2024-04-15 20:52##0##50.0##0
gjd##123456##1##0##2024-04-15 20:52##2025-04-15 20:52##0.0##2024-04-15 20:52##0##50.0##0
lzq##123456##0##1##2024-04-16 20:49##2025-04-16 20:49##0.0##2024-04-16 20:49##1##50.0##0
zxc##123456##0##1##2024-04-16 20:50##2025-04-16 20:50##0.0##2024-04-16 20:50##1##50.0##0
wsd##123456##1##0##2024-04-16 20:50##2025-04-16 20:50##0.0##2024-04-16 20:50##0##50.0##0
ysd##123456##0##1##2024-04-16 20:50##2025-04-16 20:50##0.0##2024-04-16 20:50##1##50.0##0
csa##132456##0##0##2024-04-18 17:03##2025-04-18 17:03##0.0##2024-04-18 17:03##0##50.0##0
wsws##123456##0##0##2024-04-18 17:14##2025-04-18 17:14##0.0##2024-04-18 17:14##0##50.0##0
djdj##123456##1##0##2024-04-18 17:15##2025-04-18 17:15##0.0##2024-04-18 17:15##0##50.0##0
wos##123456##0##0##2024-04-18 17:16##2025-04-18 17:16##0.0##2024-04-18 17:16##0##50.0##0
jj##123456##0##1##2024-04-23 20:31##2025-04-23 20:13##0.5##2024-04-24 00:07##2##859.5##0
hjj##123456##0##0##2024-04-23 23:18##2025-04-23 23:18##0.0##2024-04-23 23:34##0##400.0##0
you##123456##0##0##2024-04-24 00:21##2025-04-24 00:21##0.0##2024-04-24 00:21##0##50.0##0
sy##123456##1##0##2024-04-24 00:31##2025-04-24 00:31##0.0##2024-04-24 00:31##0##50.0##0
suy##123456##0##0##2024-04-24 00:44##2025-04-24 00:44##0.0##2024-04-24 00:44##0##50.0##0
ddz##123456##0##0##2024-04-24 00:46##2025-04-24 00:46##0.0##2024-04-24 00:46##0##50.0##0
dsi##123456##1##0##2024-04-24 00:47##2025-04-24 00:47##0.0##2024-04-24 00:47##0##50.0##0
v##123456##1##0##2024-04-24 01:08##2025-04-24 01:08##0.0##2024-04-24 01:08##0##50.0##0
vi##123456##1##0##2024-04-24 01:09##2025-04-24 01:09##0.0##2024-04-24 01:09##0##50.0##0
suyi##123456##0##0##2024-04-24 12:03##2025-04-24 12:03##0.0##2024-04-24 12:03##0##105.0##0
ss##123456##1##0##2024-04-24 12:25##2025-04-24 12:25##0.5##2024-04-24 12:30##1##154.5##0
sw##123456##0##0##2024-04-24 12:31##2025-04-24 12:31##0.0##2024-04-24 12:33##0##50.0##0
po##123456##1##0##2024-04-24 12:37##2025-04-24 12:37##0.0##2024-04-24 12:37##0##52.5##0
oi##123456##1##0##2024-04-24 12:39##2025-04-24 12:39##0.0##2024-04-24 14:07##0##522.1##0
ou##123456##0##0##2024-04-24 12:49##2025-04-24 12:49##0.0##2024-04-24 12:49##0##50.0##0
sz##123456##0##0##2024-04-24 12:50##2025-04-24 12:50##0.0##2024-04-24 12:50##0##50.0##0
lp##123456##1##0##2024-04-24 14:12##2025-04-24 14:12##0.0##2024-04-24 14:12##0##52.0##0
yi##234567##0##1##2024-04-24 14:40##2025-04-24 14:34##0.5##2024-04-24 14:53##2##104.5##0
zx##234567##1##0##2024-04-24 15:05##2025-04-24 15:05##0.5##2024-04-24 15:08##1##0.0##00
